,timestamp,open,high,low,close,volume,open_interest,strike,expiry_type,expiry,instrument,contract_type
0,1556077500000,56.55,57.15,41.2,45.3,64000,,29300,weekly,2019-4-25T21:00:00.000,options,put
1,1556077560000,45.45,52.5,45.45,46.9,73600,,29300,weekly,2019-4-25T21:00:00.000,options,put
2,1556077620000,46.8,56.2,46.8,52.9,66740,,29300,weekly,2019-4-25T21:00:00.000,options,put
3,1556077680000,52.9,58.8,52.3,52.35,52980,,29300,weekly,2019-4-25T21:00:00.000,options,put
4,1556077740000,52.5,52.5,44.6,45.55,43440,,29300,weekly,2019-4-25T21:00:00.000,options,put
5,1556077800000,45.6,47.0,41.8,42.15,66000,,29300,weekly,2019-4-25T21:00:00.000,options,put
6,1556077860000,41.9,45.75,41.9,44.0,33340,,29300,weekly,2019-4-25T21:00:00.000,options,put
7,1556077920000,44.0,49.55,42.8,48.0,28720,,29300,weekly,2019-4-25T21:00:00.000,options,put
8,1556077980000,47.65,47.65,45.0,45.2,24340,,29300,weekly,2019-4-25T21:00:00.000,options,put
9,1556078040000,45.45,49.6,45.0,46.3,23700,,29300,weekly,2019-4-25T21:00:00.000,options,put
10,1556078100000,46.4,50.0,44.7,49.95,30660,,29300,weekly,2019-4-25T21:00:00.000,options,put
11,1556078160000,49.35,54.6,48.05,54.15,32260,,29300,weekly,2019-4-25T21:00:00.000,options,put
12,1556078220000,54.05,62.25,52.6,57.9,54760,,29300,weekly,2019-4-25T21:00:00.000,options,put
13,1556078280000,57.45,60.1,55.5,59.1,46560,,29300,weekly,2019-4-25T21:00:00.000,options,put
14,1556078340000,58.25,62.9,56.15,57.75,40780,,29300,weekly,2019-4-25T21:00:00.000,options,put
15,1556078400000,57.85,61.0,55.45,56.9,47540,,29300,weekly,2019-4-25T21:00:00.000,options,put
16,1556078460000,56.6,64.15,56.6,63.75,31720,,29300,weekly,2019-4-25T21:00:00.000,options,put
17,1556078520000,63.1,71.65,61.85,68.45,78800,,29300,weekly,2019-4-25T21:00:00.000,options,put
18,1556078580000,68.7,70.2,64.0,64.0,42820,,29300,weekly,2019-4-25T21:00:00.000,options,put
19,1556078640000,63.7,65.4,62.65,62.7,39260,,29300,weekly,2019-4-25T21:00:00.000,options,put
20,1556078700000,62.85,62.85,55.35,58.05,37300,,29300,weekly,2019-4-25T21:00:00.000,options,put
21,1556078760000,58.35,58.35,55.55,55.95,23800,,29300,weekly,2019-4-25T21:00:00.000,options,put
22,1556078820000,55.6,56.65,53.1,54.65,29580,,29300,weekly,2019-4-25T21:00:00.000,options,put
23,1556078880000,54.35,58.6,54.35,58.1,20440,,29300,weekly,2019-4-25T21:00:00.000,options,put
24,1556078940000,58.05,61.0,56.6,59.65,27120,,29300,weekly,2019-4-25T21:00:00.000,options,put
25,1556079000000,59.7,59.85,57.05,57.6,13220,,29300,weekly,2019-4-25T21:00:00.000,options,put
26,1556079060000,57.2,58.0,56.4,56.7,14440,,29300,weekly,2019-4-25T21:00:00.000,options,put
27,1556079120000,56.9,60.0,55.35,59.1,21500,,29300,weekly,2019-4-25T21:00:00.000,options,put
28,1556079180000,59.1,63.9,57.95,61.3,29560,,29300,weekly,2019-4-25T21:00:00.000,options,put
29,1556079240000,61.15,61.45,57.35,58.8,26540,,29300,weekly,2019-4-25T21:00:00.000,options,put
30,1556079300000,58.8,59.0,56.35,56.35,13660,,29300,weekly,2019-4-25T21:00:00.000,options,put
31,1556079360000,56.6,58.5,55.5,56.3,20760,,29300,weekly,2019-4-25T21:00:00.000,options,put
32,1556079420000,56.3,60.1,56.0,59.05,18600,,29300,weekly,2019-4-25T21:00:00.000,options,put
33,1556079480000,58.5,59.05,57.45,58.35,9120,,29300,weekly,2019-4-25T21:00:00.000,options,put
34,1556079540000,58.35,59.55,57.0,58.2,11300,,29300,weekly,2019-4-25T21:00:00.000,options,put
35,1556079600000,58.4,59.4,56.95,59.25,17680,,29300,weekly,2019-4-25T21:00:00.000,options,put
36,1556079660000,59.25,60.0,56.0,56.8,14840,,29300,weekly,2019-4-25T21:00:00.000,options,put
37,1556079720000,56.6,56.75,54.6,56.5,21220,,29300,weekly,2019-4-25T21:00:00.000,options,put
38,1556079780000,56.7,59.15,56.25,58.8,17040,,29300,weekly,2019-4-25T21:00:00.000,options,put
39,1556079840000,58.7,59.5,57.25,57.45,8000,,29300,weekly,2019-4-25T21:00:00.000,options,put
40,1556079900000,57.45,58.95,57.0,57.95,9880,,29300,weekly,2019-4-25T21:00:00.000,options,put
41,1556079960000,57.95,58.95,57.1,57.15,8860,,29300,weekly,2019-4-25T21:00:00.000,options,put
42,1556080020000,57.2,63.2,57.0,59.85,31520,,29300,weekly,2019-4-25T21:00:00.000,options,put
43,1556080080000,59.9,59.9,57.0,57.65,14080,,29300,weekly,2019-4-25T21:00:00.000,options,put
44,1556080140000,57.7,58.9,55.05,55.2,16600,,29300,weekly,2019-4-25T21:00:00.000,options,put
45,1556080200000,55.6,58.0,55.3,58.0,13200,,29300,weekly,2019-4-25T21:00:00.000,options,put
