,timestamp,open,high,low,close,volume,open_interest,strike,expiry_type,expiry,instrument,contract_type
0,1643082300000,150.0,150.0,105.5,122.05,299825,2429050,37500,weekly,2022-1-27T21:00:00.000,options,call
1,1643082360000,121.95,143.3,115.65,126.25,226400,2429050,37500,weekly,2022-1-27T21:00:00.000,options,call
2,1643082420000,127.8,130.3,112.35,115.9,260975,2463325,37500,weekly,2022-1-27T21:00:00.000,options,call
3,1643082480000,117.25,121.9,108.7,117.95,280800,2463325,37500,weekly,2022-1-27T21:00:00.000,options,call
4,1643082540000,117.65,118.4,110.0,116.85,213600,2463325,37500,weekly,2022-1-27T21:00:00.000,options,call
5,1643082600000,116.0,136.05,112.8,131.8,235200,2445000,37500,weekly,2022-1-27T21:00:00.000,options,call
6,1643082660000,131.95,135.0,125.0,128.0,257375,2445000,37500,weekly,2022-1-27T21:00:00.000,options,call
7,1643082720000,127.4,136.1,125.45,127.75,209775,2445000,37500,weekly,2022-1-27T21:00:00.000,options,call
8,1643082780000,127.75,149.35,127.5,144.1,284950,2396650,37500,weekly,2022-1-27T21:00:00.000,options,call
9,1643082840000,145.35,162.65,144.3,151.9,280975,2396650,37500,weekly,2022-1-27T21:00:00.000,options,call
10,1643082900000,152.5,167.15,151.35,163.9,211000,2396650,37500,weekly,2022-1-27T21:00:00.000,options,call
11,1643082960000,164.95,171.1,155.2,162.4,213075,2399550,37500,weekly,2022-1-27T21:00:00.000,options,call
12,1643083020000,164.6,181.6,164.5,178.8,317675,2399550,37500,weekly,2022-1-27T21:00:00.000,options,call
13,1643083080000,177.35,201.9,173.7,173.7,337750,2399550,37500,weekly,2022-1-27T21:00:00.000,options,call
14,1643083140000,176.0,194.5,175.0,192.2,197375,2367500,37500,weekly,2022-1-27T21:00:00.000,options,call
15,1643083200000,191.25,216.35,191.25,200.55,347300,2367500,37500,weekly,2022-1-27T21:00:00.000,options,call
16,1643083260000,198.4,209.7,197.75,204.15,246725,2367500,37500,weekly,2022-1-27T21:00:00.000,options,call
17,1643083320000,205.6,216.45,191.55,196.05,289825,2327425,37500,weekly,2022-1-27T21:00:00.000,options,call
18,1643083380000,191.2,193.0,167.0,171.85,310425,2327425,37500,weekly,2022-1-27T21:00:00.000,options,call
19,1643083440000,168.6,188.3,168.6,184.2,176625,2327425,37500,weekly,2022-1-27T21:00:00.000,options,call
20,1643083500000,186.05,190.65,170.0,188.4,158775,2331050,37500,weekly,2022-1-27T21:00:00.000,options,call
21,1643083560000,188.25,204.95,188.25,201.45,216075,2331050,37500,weekly,2022-1-27T21:00:00.000,options,call
22,1643083620000,202.75,221.6,199.9,220.95,281925,2331050,37500,weekly,2022-1-27T21:00:00.000,options,call
23,1643083680000,223.5,236.0,217.1,228.4,312875,2308000,37500,weekly,2022-1-27T21:00:00.000,options,call
24,1643083740000,226.4,243.0,214.25,242.0,327650,2308000,37500,weekly,2022-1-27T21:00:00.000,options,call
25,1643083800000,243.9,256.0,227.1,253.75,344850,2308000,37500,weekly,2022-1-27T21:00:00.000,options,call
26,1643083860000,253.2,264.55,243.9,247.9,429950,2300625,37500,weekly,2022-1-27T21:00:00.000,options,call
27,1643083920000,246.75,261.7,231.05,255.0,315725,2300625,37500,weekly,2022-1-27T21:00:00.000,options,call
28,1643083980000,256.3,258.8,243.55,253.3,235400,2300625,37500,weekly,2022-1-27T21:00:00.000,options,call
29,1643084040000,254.4,263.0,235.35,253.0,306400,2280275,37500,weekly,2022-1-27T21:00:00.000,options,call
30,1643084100000,255.25,279.6,253.05,273.75,392525,2280275,37500,weekly,2022-1-27T21:00:00.000,options,call
31,1643084160000,274.2,277.55,258.0,258.0,249825,2280275,37500,weekly,2022-1-27T21:00:00.000,options,call
32,1643084220000,255.2,271.7,248.55,260.85,214825,2258975,37500,weekly,2022-1-27T21:00:00.000,options,call
33,1643084280000,259.55,266.4,212.15,218.7,315600,2258975,37500,weekly,2022-1-27T21:00:00.000,options,call
34,1643084340000,221.9,260.55,221.9,255.6,220350,2258975,37500,weekly,2022-1-27T21:00:00.000,options,call
35,1643084400000,256.15,275.0,254.7,266.8,251025,2254150,37500,weekly,2022-1-27T21:00:00.000,options,call
36,1643084460000,266.55,269.5,258.5,269.5,140725,2254150,37500,weekly,2022-1-27T21:00:00.000,options,call
37,1643084520000,268.8,269.5,251.45,258.5,160375,2254150,37500,weekly,2022-1-27T21:00:00.000,options,call
38,1643084580000,258.05,261.15,246.0,247.1,141875,2286250,37500,weekly,2022-1-27T21:00:00.000,options,call
39,1643084640000,247.1,247.45,224.8,242.8,197050,2286250,37500,weekly,2022-1-27T21:00:00.000,options,call
40,1643084700000,242.85,261.8,241.5,255.0,170925,2286250,37500,weekly,2022-1-27T21:00:00.000,options,call
41,1643084760000,256.1,268.95,249.6,268.95,181925,2301600,37500,weekly,2022-1-27T21:00:00.000,options,call
42,1643084820000,267.35,274.9,260.0,270.3,249800,2301600,37500,weekly,2022-1-27T21:00:00.000,options,call
43,1643084880000,270.45,285.0,263.5,281.95,310100,2301600,37500,weekly,2022-1-27T21:00:00.000,options,call
44,1643084940000,282.15,283.8,270.05,280.75,235000,2282450,37500,weekly,2022-1-27T21:00:00.000,options,call
45,1643085000000,278.8,293.65,278.3,293.2,323900,2282450,37500,weekly,2022-1-27T21:00:00.000,options,call
46,1643085060000,291.5,299.9,289.25,295.9,287875,2282450,37500,weekly,2022-1-27T21:00:00.000,options,call
47,1643085120000,297.4,300.0,274.8,276.3,379125,2258000,37500,weekly,2022-1-27T21:00:00.000,options,call
48,1643085180000,275.55,275.55,239.65,247.1,387650,2258000,37500,weekly,2022-1-27T21:00:00.000,options,call
49,1643085240000,245.55,249.2,219.4,245.9,374225,2258000,37500,weekly,2022-1-27T21:00:00.000,options,call
50,1643085300000,249.3,274.4,238.5,267.95,297450,2294275,37500,weekly,2022-1-27T21:00:00.000,options,call
51,1643085360000,269.4,279.95,257.3,263.6,221575,2294275,37500,weekly,2022-1-27T21:00:00.000,options,call
52,1643085420000,262.95,265.25,237.0,256.2,189625,2294275,37500,weekly,2022-1-27T21:00:00.000,options,call
53,1643085480000,255.0,256.8,242.0,242.0,87750,2294900,37500,weekly,2022-1-27T21:00:00.000,options,call
54,1643085540000,244.4,254.35,230.15,234.05,169100,2294900,37500,weekly,2022-1-27T21:00:00.000,options,call
55,1643085600000,233.0,233.0,204.95,204.95,299475,2294900,37500,weekly,2022-1-27T21:00:00.000,options,call
56,1643085660000,202.3,204.1,184.05,193.95,403200,2290000,37500,weekly,2022-1-27T21:00:00.000,options,call
57,1643085720000,193.75,207.25,190.0,200.05,224850,2290000,37500,weekly,2022-1-27T21:00:00.000,options,call
