,timestamp,open,high,low,close,volume,open_interest,strike,expiry_type,expiry,instrument,contract_type
0,1586423700000,0.35,8.7,0.35,4.8,1100,,16700,weekly,2020-4-9T21:00:00.000,options,put
1,1586423760000,4.8,5.0,3.0,3.1,960,,16700,weekly,2020-4-9T21:00:00.000,options,put
2,1586423820000,3.1,3.65,2.7,3.25,1200,,16700,weekly,2020-4-9T21:00:00.000,options,put
3,1586423880000,3.25,3.55,3.05,3.55,900,,16700,weekly,2020-4-9T21:00:00.000,options,put
4,1586423940000,3.55,3.6,3.4,3.6,280,,16700,weekly,2020-4-9T21:00:00.000,options,put
5,1586424000000,3.6,3.6,3.15,3.3,900,,16700,weekly,2020-4-9T21:00:00.000,options,put
6,1586424060000,3.3,4.25,3.15,4.25,2080,,16700,weekly,2020-4-9T21:00:00.000,options,put
7,1586424120000,4.25,5.15,3.7,4.75,2120,,16700,weekly,2020-4-9T21:00:00.000,options,put
8,1586424180000,4.75,5.2,4.6,4.8,780,,16700,weekly,2020-4-9T21:00:00.000,options,put
9,1586424240000,5.95,9.05,5.05,5.05,420,,16700,weekly,2020-4-9T21:00:00.000,options,put
10,1586424300000,5.05,5.05,4.6,4.6,260,,16700,weekly,2020-4-9T21:00:00.000,options,put
11,1586424360000,4.6,4.6,3.75,3.75,720,,16700,weekly,2020-4-9T21:00:00.000,options,put
12,1586424420000,3.75,4.25,3.7,3.7,220,,16700,weekly,2020-4-9T21:00:00.000,options,put
13,1586424480000,3.7,3.9,2.25,3.4,1440,,16700,weekly,2020-4-9T21:00:00.000,options,put
14,1586424540000,3.4,3.6,2.95,3.2,660,,16700,weekly,2020-4-9T21:00:00.000,options,put
15,1586424600000,3.2,3.2,2.25,2.3,1160,,16700,weekly,2020-4-9T21:00:00.000,options,put
16,1586424660000,2.3,2.45,2.1,2.45,920,,16700,weekly,2020-4-9T21:00:00.000,options,put
17,1586424720000,2.45,3.0,2.45,2.65,140,,16700,weekly,2020-4-9T21:00:00.000,options,put
18,1586424780000,2.65,2.85,2.5,2.8,1460,,16700,weekly,2020-4-9T21:00:00.000,options,put
19,1586424840000,2.8,3.0,2.8,2.85,180,,16700,weekly,2020-4-9T21:00:00.000,options,put
20,1586424900000,2.85,3.0,2.8,2.95,600,,16700,weekly,2020-4-9T21:00:00.000,options,put
21,1586424960000,2.95,2.95,2.55,2.9,340,,16700,weekly,2020-4-9T21:00:00.000,options,put
22,1586425020000,2.9,2.9,2.65,2.75,60,,16700,weekly,2020-4-9T21:00:00.000,options,put
23,1586425080000,2.75,2.9,2.75,2.9,120,,16700,weekly,2020-4-9T21:00:00.000,options,put
24,1586425140000,2.75,2.75,2.6,2.6,440,,16700,weekly,2020-4-9T21:00:00.000,options,put
25,1586425200000,2.6,2.8,2.6,2.6,200,,16700,weekly,2020-4-9T21:00:00.000,options,put
26,1586425260000,2.6,2.8,2.6,2.6,640,,16700,weekly,2020-4-9T21:00:00.000,options,put
27,1586425320000,2.6,2.7,2.2,2.2,600,,16700,weekly,2020-4-9T21:00:00.000,options,put
28,1586425380000,2.2,2.5,2.2,2.25,440,,16700,weekly,2020-4-9T21:00:00.000,options,put
29,1586425440000,2.2,2.35,2.2,2.25,140,,16700,weekly,2020-4-9T21:00:00.000,options,put
30,1586425500000,2.3,2.3,2.2,2.25,260,,16700,weekly,2020-4-9T21:00:00.000,options,put
31,1586425560000,2.25,2.45,2.2,2.3,380,,16700,weekly,2020-4-9T21:00:00.000,options,put
32,1586425620000,2.3,2.35,2.3,2.3,220,,16700,weekly,2020-4-9T21:00:00.000,options,put
33,1586425680000,2.3,2.3,2.2,2.2,380,,16700,weekly,2020-4-9T21:00:00.000,options,put
34,1586425740000,2.2,2.5,2.2,2.5,220,,16700,weekly,2020-4-9T21:00:00.000,options,put
35,1586425800000,2.5,2.5,2.25,2.25,80,,16700,weekly,2020-4-9T21:00:00.000,options,put
36,1586425860000,2.25,2.45,2.15,2.45,780,,16700,weekly,2020-4-9T21:00:00.000,options,put
37,1586425920000,2.45,2.45,2.25,2.25,80,,16700,weekly,2020-4-9T21:00:00.000,options,put
38,1586425980000,2.25,2.3,2.2,2.25,440,,16700,weekly,2020-4-9T21:00:00.000,options,put
39,1586426040000,2.25,2.3,2.05,2.3,380,,16700,weekly,2020-4-9T21:00:00.000,options,put
40,1586426100000,2.3,2.7,2.1,2.1,1300,,16700,weekly,2020-4-9T21:00:00.000,options,put
