,timestamp,open,high,low,close,volume,open_interest,strike,expiry_type,expiry,instrument,contract_type
0,1558929300000,157.4,157.4,157.4,157.4,75,,11950,weekly,2019-6-6T21:00:00.000,options,put
1,1558929420000,160.05,160.05,160.05,160.05,75,,11950,weekly,2019-6-6T21:00:00.000,options,put
2,1558932060000,146.7,146.7,146.65,146.7,150,,11950,weekly,2019-6-6T21:00:00.000,options,put
3,1558932660000,152.25,152.25,152.25,152.25,150,,11950,weekly,2019-6-6T21:00:00.000,options,put
4,1558932720000,152.7,152.7,152.7,152.7,75,,11950,weekly,2019-6-6T21:00:00.000,options,put
5,1558932840000,153.0,153.0,153.0,153.0,75,,11950,weekly,2019-6-6T21:00:00.000,options,put
6,1558932900000,152.6,152.6,152.6,152.6,75,,11950,weekly,2019-6-6T21:00:00.000,options,put
7,1558933080000,152.15,152.25,152.15,152.25,150,,11950,weekly,2019-6-6T21:00:00.000,options,put
8,1558936080000,145.0,145.0,145.0,145.0,75,,11950,weekly,2019-6-6T21:00:00.000,options,put
9,1558936140000,137.9,137.9,134.9,134.9,525,,11950,weekly,2019-6-6T21:00:00.000,options,put
10,1558936320000,132.5,132.5,132.5,132.5,150,,11950,weekly,2019-6-6T21:00:00.000,options,put
11,1558936380000,133.3,133.4,133.3,133.35,450,,11950,weekly,2019-6-6T21:00:00.000,options,put
12,1558936500000,133.15,134.3,133.15,134.3,150,,11950,weekly,2019-6-6T21:00:00.000,options,put
13,1558936560000,133.95,133.95,133.95,133.95,75,,11950,weekly,2019-6-6T21:00:00.000,options,put
14,1558936620000,132.5,132.5,132.5,132.5,75,,11950,weekly,2019-6-6T21:00:00.000,options,put
15,1558936680000,132.7,132.7,130.0,130.0,450,,11950,weekly,2019-6-6T21:00:00.000,options,put
16,1558937100000,127.4,127.4,127.4,127.4,75,,11950,weekly,2019-6-6T21:00:00.000,options,put
17,1558937160000,126.0,126.0,126.0,126.0,75,,11950,weekly,2019-6-6T21:00:00.000,options,put
18,1558937220000,127.3,127.3,127.3,127.3,75,,11950,weekly,2019-6-6T21:00:00.000,options,put
19,1558937280000,127.1,127.1,126.1,126.5,225,,11950,weekly,2019-6-6T21:00:00.000,options,put
